uuid,weight,sex,age,edu,region,age_band,occupation,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13
27dad1c2126345c886319075e87ffbdf,1.0558,남성,51,고졸 이하,서울,50-59,지게차 운전원,4,4,8,9>1>2,34>29>41,63>56>57,63>34>29,1>2,2
9154ddafcbd1445e8acbaf2ac6b50928,1.5626,남성,27,고졸 이하,서울,19-29,전화 상담원,3,4,8,9>2>1,29>51>34,56>64>67,29>51>34,1>2,2
5103a403c47e492bb71ab3cbb3d03c55,1.1815,남성,34,대학교 졸업,서울,30-39,그 외 기획 및 마케팅 사무원,3,4,8,9>1>2,54>34>27,56>58>57,54>34>9,1>4,2
d699088436284969acbe7fe2ad064cc7,1.0558,남성,58,고졸 이하,서울,50-59,택배원,4,4,4,2>9>1,29>34>54,63>56>57,29>9>34,1>2,2
01b7c3e7b39a4334bfbe2f5f75e872a4,1.7593,여성,29,대학교 졸업,서울,19-29,광고 전문가,4,4,8,9>2>1,34>54>29,56>57>60,34>54>9,1>4,2
76d187949dfe4b9d9e28c2eaf29446da,1.0558,남성,50,대학교 졸업,서울,50-59,무직,4,4,8,1>2>9,34>42>27,56>57>64,34>1>27,1>2,2
21b3feedf5b6467e89de6960a85aa0ab,1.1815,남성,38,대학교 졸업,서울,30-39,품질 인증 심사 전문가,5,4,8,2>1>9,34>51>50,56>57>60,34>51>56,1>3,4
e513a1f8516144bb983b62349f0d4b81,1.7593,여성,26,대학교 졸업,서울,19-29,전화 상담원,4,4,8,9>1>2,34>51>29,56>57>68,34>9>56,1>5,2
71c0803fc87a42319d764a07e0b4b9c8,1.0558,남성,55,고졸 이하,서울,50-59,항타기 운전원,5,4,6,1>9>13,34>35>46,63>56>57,63>34>1,1>6,1
0a04a22587f14e89b5b2ff996109073e,1.7593,여성,29,고졸 이하,서울,19-29,한식 조리사,4,4,8,9>2>1,34>42>27,64>57>56,34>64>56,1>3,2
540f6091de2b44048db616d6d406b0c3,1.1815,남성,33,대학교 졸업,서울,30-39,온라인 쇼핑 판매원,4,4,8,1>9>11,27>34>29,56>57>58,34>27>1,1>2,2
af0f0f5b95a74f6c9aebdbb3ab2e9c3e,1.1815,남성,35,고졸 이하,서울,30-39,그 외 건축 마감 관련 기능 종사원,4,4,6,1>2>9,34>29>42,63>56>57,34>1>63,1>2,2
7c2a4b8a3e7049e9baaf82ae2c7e7510,1.6426,남성,41,고졸 이하,서울,40-49,하역 및 적재 관련 단순 종사원,3,4,8,9>2>5,34>29>42,63>56>58,34>63>9,1>2,2
0e73d7525c684ecfbf399e1191820511,1.0627,여성,38,대학교 졸업,서울,30-39,무직,3,4,2,9>2>1,34>27>29,67>57>56,9>34>67,1>4,2
4c6b682bb716439196f640264f6e42a3,1.0558,남성,52,대학교 졸업,서울,50-59,원예작물 판매원,4,4,8,9>1>3,34>42>29,56>57>58,34>9>42,1>2,2
17e78185d8aa4344bc2732572f305798,1.0627,여성,35,대학교 졸업,서울,30-39,일반 비서,4,4,8,1>9>2,42>34>29,56>57>67,34>42>56,1>4,2
287bfd44fdaf47fa99314e389da43dd7,1.0627,여성,30,대학교 졸업,서울,30-39,온라인 쇼핑 판매원,4,4,8,9>1>2,51>34>42,56>57>58,51>9>34,1>6,2
b86d3997f0f44d3b84ceb4d5f2b6ce98,1.5626,남성,26,대학교 졸업,서울,19-29,광고 및 홍보 사무원,4,4,8,1>9>2,42>34>51,56>57>58,34>56>42,1>4,2
