uuid,weight,sex,age,edu,region,age_band,occupation,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q29_1,Q29_2,Q30
d1d8688f7eb14c0aab38bf5e2e0958ca,0.7610,남성,19,고졸 이하,전북,19-29,무직,2,4>3,3,5>5>5,4>4>4,5>5>5,3,5,2,13>2>1,51>29>34,58>57>56,13>51>29,1,4,1,15,0,"요즘 인공지능 기술이 발전하면서 딥페이크를 이용한 보이스피싱이나 사이버 테러가 점점 정교해져서, 이게 사회적 혼란을 일으킬 수 있는 잠재적 위험요인이 될 것 같습니다. 또한 기후 변화로 인해 우리 지역 같은 산간 도시에 예측 불가능한 집중호우가 쏟아져 산사태가 발생하는 것도 걱정됩니다."
7b529bb92eb24f2fa7226b8226bfbbd3,0.6261,여성,33,대학교 졸업,충북,30-39,무직,2,2>3,3,5>5>5,4>4>4,5>5>5,3,4,2,1>2>13,27>34>29,57>68>58,27>34>13,1,4,1,15,0,"기후 변화로 인한 집중호우나 산불이 예년보다 잦아지고 있는데, 고령자가 많은 우리 지역 특성상 재난 발생 시 신속한 대피가 어려운 점이 가장 우려됩니다. 또한 농촌 지역의 경우 재난 알림이 도착하더라도 스마트폰 활용에 익숙하지 않은 어르신들이 정보를 제때 확인하지 못할 위험도 크다고 생각합니다."
ba4d7d095f6a4592841e362649465a01,1.6703,여성,34,대학교 졸업,경기,30-39,무직,2,3>4,3,5>4>4,3>3>3,4>4>4,3,4,2,1>2>9,27>29>34,56>57>58,27>1>29,1,3,1,15,,"기후 변화로 인해 예측하기 어려운 폭우나 무더위가 점점 심해지고 있어서, 이에 대비하는 것이 중요하다고 생각합니다. 또한 부모님과 함께 살다 보니 고령자들을 대상으로 한 스미싱이나 보이스피싱 같은 사이버 범죄도 새로운 재난 위험요인이라고 느껴집니다."
ee7dac68492048f6875577da736a2348,0.3847,여성,45,고졸 이하,대전,40-49,상품 기획자,3,3>2,3,5>5>5,4>4>4,5>5>5,3,5,2,1>2>9,27>34>29,56>57>68,27>1>34,1,3,2,0,8,"급격한 AI 기술 발전으로 인한 디지털 범죄과 가짜 정보의 확산이 사회적 혼란을 일으킬 수 있는 잠재적 위험요인이라고 생각합니다. 또한 저처럼 아이와 부모님을 모시는 가구가 많은데, 고령화 사회로 접어들며 돌봄 공백과 안전사고 위험이 점점 커질 것 같아요."
0e00cf0a85d64c6b934a47d72cb41e01,0.6112,여성,39,대학교 졸업,광주,30-39,보육교사,2,3>2,3,5>5>5,4>4>4,5>5>5,3,4,2,1>9>2,27>29>34,56>57>60,27>1>29,1,4,1,4,,"지구 온난화로 인한 폭염이나 집중호우 같은 이상 기후가 어린 아이들의 건강과 일상에 미치는 영향, 그리고 아직 백신이나 치료제가 없는 새로운 종류의 감염병이 잠재적 위험요인이라고 생각합니다."
f3b18a937d89497bb92852f6851b6a48,0.7796,남성,29,대학원 졸업,대전,19-29,영업 관리 사무원,4,3>4,4,5>5>4,4>4>3,5>5>5,3,4,2,14>13>2,34>46>51,56>63>57,34>46>14,1,4,1,4,,"대전은 계획도시로 개발되었지만, 노후화된 아파트와 시설물이 늘어나면서 이에 대한 안전 관리가 시급한 잠재적 위험요인이라고 생각합니다. 또한, 스마트시티 기술이 확산되면서 도시 기반 시설에 대한 사이버 테러나 전산망 마비 같은 새로운 형태의 위험도 대비해야 할 것입니다."
ba1bb5057bed44c9925daf9819620d82,1.1101,남성,39,대학교 졸업,대구,30-39,반려동물 훈련사,2,3>2,3,5>5>5,4>4>3,5>5>5,3,4,2,9>2>14,34>29>51,56>57>58,34>29>9,1,3,2,,2,"기후 변화로 인한 폭염과 집중호우가 점점 심해져서, 반려동물과 어린 자녀가 위험에 처할까 봐 걱정됩니다. 또한 최근 급증하는 이륜차 배달 사고도 우리 동네에서 심각한 잠재적 위험 요인이라고 생각합니다."
b204516110d149169968e7cadf2190aa,1.7663,남성,64,대학원 졸업,경기,60-69,화학제품 생산 관리자,4,2>3,4,5>5>5,4>4>4,5>5>5,3,5,2,2>10>1,38>35>47,63>57>56,38>2>63,1,3,2,,1,"노후화된 공장 설비와 아파트 배관 등 사회 기반 시설의 관리 부재로 인한 사고 위험이 점차 커지고 있어 우려됩니다. 또한, 최근 에너지 절약을 위해 도입되는 각종 스마트 관리 시스템에 대한 사이버 보안 위협도 잠재적인 위험요인이라고 생각합니다."
b18611f83c2647e8a45d0b3659e0c008,0.8471,남성,61,고졸 이하,충남,60-69,하역 및 적재 관련 단순 종사원,1,2>1,3,5>5>5,4>4>4,5>5>5,3,4,2,2>1>9,34>29>27,63>58>57,63>2>34,1,4,1,15,0,요즘 날씨가 너무 덥거나 비가 갑자기 쏟아지는 게 무섭습니다. 그리고 공장이나 산에서 불이 나면 동네가 다 탈까 봐 겁나고요.
011fc37a573d44c281e42da27ce13b77,0.5240,남성,40,대학원 졸업,광주,40-49,비행기 조종사,4,3>5,3,5>5>5,4>4>4,5>5>5,3,5,1,1>13>2,32>51>29,56>57>61,32>1>13,1,4,1,4,,기후변화로 인한 국지성 호우나 돌발 기상 변화가 항공 운항과 도시 배수 시스템에 미치는 영향이 우려되므로 이에 대한 정밀한 예측 기술이 필요합니다. 또한 거주지인 노후화된 연립주택의 가스 및 전기 설비 사고를 예방하기 위해 IoT 기반의 실시간 감시 시스템 보급도 중요하다고 생각합니다.
